# FILE-FIRST verification verdicts, 2026-07-02. Sonnet 4.6 (claude-sonnet-4-6) mechanical
# verification vs csl-orig entry text; Fable 5 (claude-fable-5) adjudication of the 28 flags.
# verdict: PASS (file) | SCAN-FIRST (file; scan is decisive) | EDITORIAL (duplicate/apparatus
# collision - editor chooses merge vs respell) | DNF (do-not-file) | DROP (stale/already fixed)
dict	wrong	right	verdict	note
SHS	BUnaya	BUmaya	PASS	E. {#BU#} earth, and {#mayaw#} aff. -- mayaw affix regularly yields -maya 'made of'; headword BUnaya's -naya does not match the stated affix at all
SHS	BadraballI	BadravallI	PASS	E. {#Badra#} lucky, {#vallI#} a creeper. -- etymology spells vallI with v; headword BadraballI has b
SHS	SilAbalkA	SilAvalkA	PASS	E. {#SilA#} a stone or rock, and {#valka#} bark; also termed {#SilAvalkala, SilAtvac#}. -- etymology spells valka with v and cross-reference SilAvalkala confirms v; headword SilAbalkA has b
SHS	akASadIpa	AkASadIpa	PASS	E. {#AkASa#} and {#dIpa#} a lamp; also {#AkASapradIpaH#}. -- etymology and cross-reference both spell AkASa with initial long A; headword akASadIpa has short a
SHS	diDizupati	diDizUpati	PASS	E. {#diDizU#} as [above/prior sense] -- etymology spells diDizU with long final U; headword diDizupati has short u
SHS	ditisUta	ditisuta	PASS	E. {#diti#} as above, and {#suta#} a son. -- etymology spells suta with short u; headword ditisUta has long U
SHS	divaspfTibI	divaspfTivI	PASS	E. {#diva#} heaven, and {#pfTivI#} earth, {#sa#} inserted -- etymology spells pfTivI with v; headword divaspfTibI has b
SHS	drabaja	dravaja	PASS	E. {#drava#}, and {#ja#} born. {#dravAt jAyate jana-qa#}. -- etymology and grammatical derivation both spell drava with v; headword drabaja has b
SHS	hastisuRqA	hastiSuRqA	PASS	E. {#hastin#} an elephant, {#SuRqA#} the trunk. -- etymology spells SuRqA with palatal S; headword hastisuRqA has dental s
SHS	jAmbabat	jAmbavat	PASS	m. ({#-vAn#}) A fabulous bear ... E. {#jAmba#} the Jambu tree, and {#matup#} affix; also {#jAmbuvat#}. -- matup-affixed nom. -vAn and the cross-reference jAmbuvat both confirm v-spelling; headword jAmbabat has b
SHS	jAmbunadamaya	jAmbUnadamaya	PASS	E. {#jAmbUnada#} and {#mayaw#} aff. -- etymology spells jAmbUnada with long U; headword jAmbunadamaya has short u
SHS	jalarupa	jalarUpa	PASS	E. {#jala#}, and {#rUpa#} form. {#jalasya rUzam iva rUpam asya SuBratvAt#}. -- etymology and derivation both spell rUpa with long U; headword jalarupa has short u
SHS	kARqapfzwa	kARqapfzWa	DROP	stale: correct form kARqapfzWa already its own entry upstream; fix landed since triage [sonnet: FLAG — stale: headword 'kARqapfzwa' (lowercase w) not found in shs.txt; 'kARqapfzWa' (capital W) already exists as its own correct entry (id 9855, pc 171-b) -- correction already applied upstream]
SHS	kAlyaRineya	kAlyARineya	PASS	E. {#kalyARI#}, and {#Qak#} affix, {#inaYa#} inserted. -- base kalyARI has retroflex R; headword kAlyaRineya has dental n where kAlyARineya (retroflex R) is expected per Qak-derivation rule (n->R after r/R in same word, ancient nati)
